1 1 1 01 59 f 	2767.019725	0.005800	30
1 2 2 02 58 e 	3222.777469	0.005700	34
1 3 3 02 16 e 	2626.957768	0.001600	45
1 1 1 01 57 f 	2675.951401	0.005600	31
1 2 2 02 56 e 	3132.784367	0.005500	38
1 1 1 01 52 e 	2464.267981	0.005200	34
1 2 2 02 51 f 	2921.245193	0.005100	42
1 3 3 02 15 f 	2614.391703	0.001400	45
1 3 3 02 14 e 	2602.610757	0.001400	45
1 1 1 01 55 f 	2587.983360	0.005400	31
1 2 2 02 54 e 	3045.908071	0.005300	39
1 1 1 01 50 e 	2383.873293	0.005000	39
1 2 2 02 49 f 	2842.194503	0.004900	44
1 3 3 02 13 f 	2591.614967	0.001200	44
1 1 1 01 53 f 	2503.116972	0.005200	34
1 2 2 02 52 e 	2962.150073	0.005100	39
1 3 3 02 12 e 	2581.404391	0.001200	43
1 1 1 01 48 e 	2306.590937	0.004800	41
1 2 2 02 47 f 	2766.262785	0.004700	46
1 3 3 02 11 f 	2571.979068	0.001000	41
1 1 1 01 51 f 	2421.353554	0.005000	35
1 2 2 02 50 e 	2881.511799	0.004900	42
1 3 3 02 10 e 	2563.339044	0.001000	41
1 1 1 01 46 e 	2232.422072	0.004600	46
1 2 2 02 45 f 	2693.451457	0.004500	51
1 1 1 01 49 f 	2342.694379	0.004800	41
1 2 2 02 48 e 	2803.994611	0.004700	46
1 3 3 02 9 f 	2555.484355	0.000800	40
1 3 3 02 8 e 	2548.415037	0.000800	38
1 1 1 01 44 e 	2161.367809	0.004400	51
1 2 2 02 43 f 	2623.761882	0.004300	53
1 1 1 01 47 f 	2267.140673	0.004600	44
1 2 2 02 46 e 	2729.599807	0.004500	47
2 1 1 02 8 e 	2668.604648	0.000800	37
2 2 2 03 8 e 	3131.360039	0.000700	30
2 1 1 02 10 e 	2683.468626	0.001000	38
2 2 2 03 10 e 	3146.282051	0.000900	30
2 1 1 02 12 e 	2701.461291	0.001200	38
2 2 2 03 12 e 	3164.345156	0.001100	31
2 1 1 02 9 f 	2675.538392	0.000800	38
2 2 2 03 9 f 	3138.427828	0.000900	30
1 3 3 02 7 f 	2542.131119	0.000600	37
2 1 1 02 14 e 	2722.582321	0.001400	38
2 2 2 03 14 e 	3185.549128	0.001300	32
2 1 1 02 11 f 	2691.916771	0.001000	38
2 2 2 03 11 f 	3154.919750	0.001100	30
2 1 1 02 16 e 	2746.831331	0.001600	38
2 2 2 03 16 e 	3209.893706	0.001500	32
2 1 1 02 13 f 	2711.414179	0.001200	38
2 2 2 03 13 f 	3174.552206	0.001300	31
2 1 1 02 18 e 	2774.207884	0.001800	37
2 2 2 03 18 e 	3237.378595	0.001700	33
2 1 1 02 20 e 	2804.711485	0.002000	37
2 2 2 03 20 e 	3268.003454	0.001900	33
2 1 1 02 15 f 	2734.030271	0.001400	38
2 2 2 03 15 f 	3197.324781	0.001500	32
2 1 1 02 22 e 	2838.341586	0.002200	38
2 2 2 03 22 e 	3301.767894	0.002100	33
2 1 1 02 17 f 	2759.764645	0.001600	38
2 2 2 03 17 f 	3223.237004	0.001700	33
2 1 1 02 24 e 	2875.097581	0.002400	37
2 2 2 03 24 e 	3338.671490	0.002300	33
1 1 1 01 45 f 	2194.693611	0.004400	51
1 2 2 02 44 e 	2658.328620	0.004300	51
2 1 1 02 19 f 	2788.616846	0.001800	37
2 2 2 03 19 f 	3252.288341	0.001900	33
1 3 3 02 6 e 	2536.632631	0.000600	37
2 1 1 02 26 e 	2914.978808	0.002600	37
2 2 2 03 26 e 	3378.713767	0.002500	33
1 1 1 01 42 e 	2093.429214	0.004200	56
1 2 2 02 41 f 	2557.195364	0.004100	55
2 1 1 02 21 f 	2820.586364	0.002000	38
2 2 2 03 21 f 	3284.478184	0.002100	33
2 1 1 02 28 e 	2957.984549	0.002800	37
2 2 2 03 28 e 	3421.894206	0.002700	33
2 1 1 02 23 f 	2855.672637	0.002200	36
2 2 2 03 23 f 	3319.805865	0.002300	33
2 1 1 02 25 f 	2893.875043	0.002400	36
2 2 2 03 25 f 	3358.270652	0.002500	33
1 3 3 02 5 f 	2531.919596	0.000400	38
2 1 1 02 27 f 	2935.192910	0.002600	36
2 2 2 03 27 f 	3399.871741	0.002700	33
1 1 1 01 43 f 	2125.354325	0.004200	52
1 2 2 02 42 e 	2590.182226	0.004100	53
1 1 1 01 40 e 	2028.607310	0.004000	58
1 2 2 02 39 f 	2493.753150	0.003900	57
1 3 3 02 4 e 	2527.992035	0.000400	35
1 1 1 01 41 f 	2059.123895	0.004000	56
1 2 2 02 40 e 	2525.161736	0.003900	55
1 1 1 01 38 e 	1966.903069	0.003800	60
1 2 2 02 37 f 	2433.436428	0.003700	59
1 1 1 01 39 f 	1996.003356	0.003800	59
1 2 2 02 38 e 	2463.268205	0.003700	58
1 1 1 01 36 e 	1908.317421	0.003600	60
1 2 2 02 35 f 	2376.246329	0.003500	62
1 1 1 01 37 f 	1935.993693	0.003600	60
1 2 2 02 36 e 	2404.502631	0.003500	58
1 2 2 01 3 f 	2055.699102	0.000300	48
1 3 3 02 3 f 	2524.849965	0.000200	26
1 1 1 01 34 e 	1852.851248	0.003400	59
1 2 2 02 33 f 	2322.183925	0.003300	64
1 1 1 01 35 f 	1879.095847	0.003400	60
1 2 2 02 34 e 	2348.865953	0.003300	62
1 1 1 01 32 e 	1800.505385	0.003200	61
1 2 2 02 31 f 	2271.250231	0.003100	64
1 1 1 01 33 f 	1825.310705	0.003200	62
1 2 2 02 32 e 	2296.359054	0.003100	64
1 2 2 01 2 e 	2053.352029	0.000100	36
1 3 3 02 42 e 	3228.996377	0.004200	29
1 2 2 01 43 f 	2790.657902	0.004300	48
1 3 3 02 43 f 	3262.725644	0.004200	29
1 1 1 01 30 e 	1751.280619	0.003000	64
1 2 2 02 29 f 	2223.446201	0.002900	65
1 2 2 01 44 e 	2825.021797	0.004300	48
1 3 3 02 44 e 	3297.242007	0.004400	29
1 2 2 01 45 f 	2860.197246	0.004500	46
1 3 3 02 45 f 	3332.534882	0.004400	29
1 1 1 01 31 f 	1774.639109	0.003000	65
1 2 2 02 30 e 	2246.982764	0.002900	64
1 2 2 01 46 e 	2896.115864	0.004500	44
1 3 3 02 46 e 	3368.615984	0.004600	29
1 2 2 01 47 f 	2932.853248	0.004700	44
1 3 3 02 47 f 	3405.471674	0.004600	29
1 2 2 01 48 e 	2970.325324	0.004700	42
1 3 3 02 48 e 	3443.117038	0.004800	28
1 2 2 01 49 f 	3008.624763	0.004900	40
1 3 3 02 49 f 	3481.534694	0.004800	28
1 1 1 01 28 e 	1705.177694	0.002800	63
1 2 2 02 27 f 	2178.772734	0.002700	64
1 1 1 01 29 f 	1727.081852	0.002800	64
1 2 2 02 28 e 	2200.737856	0.002700	64
1 1 1 01 27 f 	1682.639677	0.002600	63
1 2 2 02 26 e 	2157.625052	0.002500	67
1 1 1 01 26 e 	1662.197305	0.002600	62
1 2 2 02 25 f 	2137.230666	0.002500	66
1 1 1 01 25 f 	1641.313281	0.002400	63
1 2 2 02 24 e 	2117.645023	0.002300	68
1 1 1 01 24 e 	1622.340102	0.002400	61
1 2 2 02 23 f 	2098.820781	0.002300	69
1 1 1 01 23 f 	1603.103313	0.002200	64
1 2 2 02 22 e 	2080.798387	0.002100	70
1 1 1 01 22 e 	1585.606686	0.002200	62
1 2 2 02 21 f 	2063.543799	0.002100	70
1 1 1 01 21 f 	1568.010370	0.002000	63
1 2 2 02 20 e 	2047.085710	0.001900	70
1 1 1 01 20 e 	1551.997613	0.002000	61
1 2 2 02 19 f 	2031.400383	0.001900	70
1 1 1 01 19 f 	1536.035004	0.001800	61
1 2 2 02 18 e 	2016.507510	0.001700	69
1 1 1 01 18 e 	1521.513390	0.001800	61
1 2 2 02 17 f 	2002.391138	0.001700	67
1 1 1 01 17 f 	1507.177714	0.001600	61
1 2 2 02 16 e 	1989.064254	0.001500	67
1 1 1 01 16 e 	1494.154477	0.001600	60
1 2 2 02 15 f 	1976.516608	0.001500	67
1 1 1 01 15 f 	1481.438951	0.001400	60
1 2 2 02 14 e 	1964.756357	0.001300	68
1 1 1 01 14 e 	1469.921286	0.001400	60
1 2 2 02 13 f 	1953.777277	0.001300	68
1 1 1 01 13 f 	1458.819119	0.001200	58
1 2 2 02 12 e 	1943.584188	0.001100	67
1 1 1 01 12 e 	1448.814185	0.001200	58
1 2 2 02 11 f 	1934.173576	0.001100	67
1 1 1 01 11 f 	1439.318576	0.001000	57
1 2 2 02 10 e 	1925.548070	0.000900	67
1 1 1 01 10 e 	1430.833495	0.001000	56
1 2 2 02 9 f 	1917.705872	0.000900	66
1 1 1 01 9 f 	1422.937627	0.000800	56
1 2 2 02 8 e 	1910.648274	0.000700	66
1 1 1 01 8 e 	1415.979489	0.000800	55
1 2 2 02 7 f 	1904.374477	0.000700	64
1 1 1 01 7 f 	1409.676529	0.000600	55
1 2 2 02 6 e 	1898.885027	0.000500	63
1 1 1 01 6 e 	1404.252390	0.000600	55
1 2 2 02 5 f 	1894.179640	0.000500	61
1 1 1 01 5 f 	1399.535491	0.000400	56
1 2 2 02 4 e 	1890.258505	0.000300	58
1 1 1 01 4 e 	1395.652376	0.000400	56
1 2 2 02 3 f 	1887.121555	0.000300	52
1 1 1 01 3 f 	1392.514671	0.000200	54
