v	unc	v1'	v2'	l2'	v3'	r'	J'	sym'	v1''	v2''	l2''	v3''	r''	J''	sym''	tag
439.000892	0.0001	1	3	3	0	2	41	f	1	2	2	0	1	42	e	tag1
439.643997	0.0001	1	3	3	0	2	40	f	1	2	2	0	1	41	f	tag2
440.310205	0.0001	1	3	3	0	2	39	f	1	2	2	0	1	40	e	tag3
440.961434	0.0001	1	3	3	0	2	38	f	1	2	2	0	1	39	f	tag4
441.631837	0.0001	1	3	3	0	2	37	f	1	2	2	0	1	38	e	tag5
442.290889	0.0001	1	3	3	0	2	36	f	1	2	2	0	1	37	f	tag6
442.965839	0.0001	1	3	3	0	2	35	f	1	2	2	0	1	36	e	tag7
443.632455	0.0001	1	3	3	0	2	34	f	1	2	2	0	1	35	f	tag8
444.312258	0.0001	1	3	3	0	2	33	f	1	2	2	0	1	34	e	tag9
444.986218	0.0001	1	3	3	0	2	32	f	1	2	2	0	1	33	f	tag10
445.67114	0.0001	1	3	3	0	2	31	f	1	2	2	0	1	32	e	tag11
446.352258	0.0001	1	3	3	0	2	30	f	1	2	2	0	1	31	f	tag12
447.042527	0.0001	1	3	3	0	2	29	f	1	2	2	0	1	30	e	tag13
447.730646	0.0001	1	3	3	0	2	28	f	1	2	2	0	1	29	f	tag14
448.426458	0.0001	1	3	3	0	2	27	f	1	2	2	0	1	28	e	tag15
449.121449	0.0001	1	3	3	0	2	26	f	1	2	2	0	1	27	f	tag16
449.82297	0.0001	1	3	3	0	2	25	f	1	2	2	0	1	26	e	tag17
450.346813	0.0001	1	2	2	0	2	61	e	1	1	1	0	1	62	f	tag18
450.524723	0.0001	1	3	3	0	2	24	f	1	2	2	0	1	25	f	tag19
451.232095	0.0001	1	3	3	0	2	23	f	1	2	2	0	1	24	e	tag20
451.661959	0.0001	1	2	2	0	2	59	e	1	1	1	0	1	60	f	tag21
451.940522	0.0001	1	3	3	0	2	22	f	1	2	2	0	1	23	f	tag22
452.653862	0.0001	1	3	3	0	2	21	f	1	2	2	0	1	22	e	tag23
452.982256	0.0001	1	2	2	0	2	57	e	1	1	1	0	1	58	f	tag24
453.368891	0.0001	1	3	3	0	2	20	f	1	2	2	0	1	21	f	tag25
454.088297	0.0001	1	3	3	0	2	19	f	1	2	2	0	1	20	e	tag26
454.308026	0.0001	1	2	2	0	2	55	e	1	1	1	0	1	56	f	tag27
454.698895	0.0001	1	2	2	0	2	60	e	1	1	1	0	1	61	e	tag28
454.809869	0.0001	1	3	3	0	2	18	f	1	2	2	0	1	19	f	tag29
455.535421	0.0001	1	3	3	0	2	17	f	1	2	2	0	1	18	e	tag30
455.639579	0.0001	1	2	2	0	2	53	e	1	1	1	0	1	54	f	tag31
455.757743	0.0001	1	2	2	0	2	58	e	1	1	1	0	1	59	e	tag32
456.263488	0.0001	1	3	3	0	2	16	f	1	2	2	0	1	17	f	tag33
456.832966	0.0001	1	2	2	0	2	56	e	1	1	1	0	1	57	e	tag34
456.977212	0.0001	1	2	2	0	2	51	e	1	1	1	0	1	52	f	tag35
456.99525	0.0001	1	3	3	0	2	15	f	1	2	2	0	1	16	e	tag36
457.729777	0.0001	1	3	3	0	2	14	f	1	2	2	0	1	15	f	tag37
457.92471	0.0001	1	2	2	0	2	54	e	1	1	1	0	1	55	e	tag38
458.32121	0.0001	1	2	2	0	2	49	e	1	1	1	0	1	50	f	tag39
458.467798	0.0001	1	3	3	0	2	13	f	1	2	2	0	1	14	e	tag40
459.033101	0.0001	1	2	2	0	2	52	e	1	1	1	0	1	53	e	tag41
459.208755	0.0001	1	3	3	0	2	12	f	1	2	2	0	1	13	f	tag42
459.671847	0.0001	1	2	2	0	2	47	e	1	1	1	0	1	48	f	tag43
459.953073	0.0001	1	3	3	0	2	11	f	1	2	2	0	1	12	e	tag44
460.158245	0.0001	1	2	2	0	2	50	e	1	1	1	0	1	51	e	tag45
460.700437	0.0001	1	3	3	0	2	10	f	1	2	2	0	1	11	f	tag46
461.029385	0.0001	1	2	2	0	2	45	e	1	1	1	0	1	46	f	tag47
461.300232	0.0001	1	2	2	0	2	48	e	1	1	1	0	1	49	e	tag48
461.451078	0.0001	1	3	3	0	2	9	f	1	2	2	0	1	10	e	tag49
462.204833	0.0001	1	3	3	0	2	8	f	1	2	2	0	1	9	f	tag50
462.394074	0.0001	1	2	2	0	2	43	e	1	1	1	0	1	44	f	tag51
462.459134	0.0001	1	2	2	0	2	46	e	1	1	1	0	1	47	e	tag52
462.961813	0.0001	1	3	3	0	2	7	f	1	2	2	0	1	8	e	tag53
463.635009	0.0001	1	2	2	0	2	44	e	1	1	1	0	1	45	e	tag54
463.721945	0.0001	1	3	3	0	2	6	f	1	2	2	0	1	7	f	tag55
463.76615	0.0001	1	2	2	0	2	41	e	1	1	1	0	1	42	f	tag56
464.485273	0.0001	1	3	3	0	2	5	f	1	2	2	0	1	6	e	tag57
464.827901	0.0001	1	2	2	0	2	42	e	1	1	1	0	1	43	e	tag58
465.14584	0.0001	1	2	2	0	2	39	e	1	1	1	0	1	40	f	tag59
465.25177	0.0001	1	3	3	0	2	4	f	1	2	2	0	1	5	f	tag60
466.037841	0.0001	1	2	2	0	2	40	e	1	1	1	0	1	41	e	tag61
466.533359	0.0001	1	2	2	0	2	37	e	1	1	1	0	1	38	f	tag62
467.26485	0.0001	1	2	2	0	2	38	e	1	1	1	0	1	39	e	tag63
467.928908	0.0001	1	2	2	0	2	35	e	1	1	1	0	1	36	f	tag64
468.508937	0.0001	1	2	2	0	2	36	e	1	1	1	0	1	37	e	tag65
469.150863	0.0001	1	3	3	0	2	3	f	1	2	2	0	1	3	f	tag66
469.163517	0.0001	1	3	3	0	2	4	f	1	2	2	0	1	4	e	tag67
469.179331	0.0001	1	3	3	0	2	5	f	1	2	2	0	1	5	f	tag68
469.198308	0.0001	1	3	3	0	2	6	f	1	2	2	0	1	6	e	tag69
469.220433	0.0001	1	3	3	0	2	7	f	1	2	2	0	1	7	f	tag70
469.245731	0.0001	1	3	3	0	2	8	f	1	2	2	0	1	8	e	tag71
469.274152	0.0001	1	3	3	0	2	9	f	1	2	2	0	1	9	f	tag72
469.305767	0.0001	1	3	3	0	2	10	f	1	2	2	0	1	10	e	tag73
469.332679	0.0001	1	2	2	0	2	33	e	1	1	1	0	1	34	f	tag74
469.340461	0.0001	1	3	3	0	2	11	f	1	2	2	0	1	11	f	tag75
469.378396	0.0001	1	3	3	0	2	12	f	1	2	2	0	1	12	e	tag76
469.419331	0.0001	1	3	3	0	2	13	f	1	2	2	0	1	13	f	tag77
469.46359	0.0001	1	3	3	0	2	14	f	1	2	2	0	1	14	e	tag78
469.510723	0.0001	1	3	3	0	2	15	f	1	2	2	0	1	15	f	tag79
469.561318	0.0001	1	3	3	0	2	16	f	1	2	2	0	1	16	e	tag80
469.614594	0.0001	1	3	3	0	2	17	f	1	2	2	0	1	17	f	tag81
469.671545	0.0001	1	3	3	0	2	18	f	1	2	2	0	1	18	e	tag82
469.730894	0.0001	1	3	3	0	2	19	f	1	2	2	0	1	19	f	tag83
469.770106	0.0001	1	2	2	0	2	34	e	1	1	1	0	1	35	e	tag84
469.794233	0.0001	1	3	3	0	2	20	f	1	2	2	0	1	20	e	tag85
469.859567	0.0001	1	3	3	0	2	21	f	1	2	2	0	1	21	f	tag86
469.929339	0.0001	1	3	3	0	2	22	f	1	2	2	0	1	22	e	tag87
470.000547	0.0001	1	3	3	0	2	23	f	1	2	2	0	1	23	f	tag88
470.076818	0.0001	1	3	3	0	2	24	f	1	2	2	0	1	24	e	tag89
470.153764	0.0001	1	3	3	0	2	25	f	1	2	2	0	1	25	f	tag90
470.23662	0.0001	1	3	3	0	2	26	f	1	2	2	0	1	26	e	tag91
470.31914	0.0001	1	3	3	0	2	27	f	1	2	2	0	1	27	f	tag92
470.408693	0.0001	1	3	3	0	2	28	f	1	2	2	0	1	28	e	tag93
470.496588	0.0001	1	3	3	0	2	29	f	1	2	2	0	1	29	f	tag94
470.592984	0.0001	1	3	3	0	2	30	f	1	2	2	0	1	30	e	tag95
470.686014	0.0001	1	3	3	0	2	31	f	1	2	2	0	1	31	f	tag96
470.744848	0.0001	1	2	2	0	2	31	e	1	1	1	0	1	32	f	tag97
470.789435	0.0001	1	3	3	0	2	32	f	1	2	2	0	1	32	e	tag98
470.887316	0.0001	1	3	3	0	2	33	f	1	2	2	0	1	33	f	tag99
470.99799	0.0001	1	3	3	0	2	34	f	1	2	2	0	1	34	e	tag100
471.04835	0.0001	1	2	2	0	2	32	e	1	1	1	0	1	33	e	tag101
471.100382	0.0001	1	3	3	0	2	35	f	1	2	2	0	1	35	f	tag102
471.218589	0.0001	1	3	3	0	2	36	f	1	2	2	0	1	36	e	tag103
471.325092	0.0001	1	3	3	0	2	37	f	1	2	2	0	1	37	f	tag104
471.451171	0.0001	1	3	3	0	2	38	f	1	2	2	0	1	38	e	tag105
471.497936	0.0001	1	3	3	0	2	3	f	1	2	2	0	1	2	e	tag106
471.561316	0.0001	1	3	3	0	2	39	f	1	2	2	0	1	39	f	tag107
471.695676	0.0001	1	3	3	0	2	40	f	1	2	2	0	1	40	e	tag108
471.808916	0.0001	1	3	3	0	2	41	f	1	2	2	0	1	41	f	tag109
471.952043	0.0001	1	3	3	0	2	42	f	1	2	2	0	1	42	e	tag110
472.067743	0.0001	1	3	3	0	2	43	f	1	2	2	0	1	43	f	tag111
472.165584	0.0001	1	2	2	0	2	29	e	1	1	1	0	1	30	f	tag112
472.220211	0.0001	1	3	3	0	2	44	f	1	2	2	0	1	44	e	tag113
472.292932	0.0001	1	3	3	0	2	4	f	1	2	2	0	1	3	f	tag114
472.299457	0.0001	1	1	1	0	2	77	f	1	0	0	0	1	78	e	tag115
472.337636	0.0001	1	3	3	0	2	45	f	1	2	2	0	1	45	f	tag116
472.343655	0.0001	1	2	2	0	2	30	e	1	1	1	0	1	31	e	tag117
472.500121	0.0001	1	3	3	0	2	46	f	1	2	2	0	1	46	e	tag118
472.618426	0.0001	1	3	3	0	2	47	f	1	2	2	0	1	47	f	tag119
472.791715	0.0001	1	3	3	0	2	48	f	1	2	2	0	1	48	e	tag120
472.909931	0.0001	1	3	3	0	2	49	f	1	2	2	0	1	49	f	tag121
473.091078	0.0001	1	3	3	0	2	5	f	1	2	2	0	1	4	e	tag122
473.569681	0.0001	1	1	1	0	2	75	f	1	0	0	0	1	76	e	tag123
473.595042	0.0001	1	2	2	0	2	27	e	1	1	1	0	1	28	f	tag124
473.656006	0.0001	1	2	2	0	2	28	e	1	1	1	0	1	29	e	tag125
473.892366	0.0001	1	3	3	0	2	6	f	1	2	2	0	1	5	f	tag126
474.696796	0.0001	1	3	3	0	2	7	f	1	2	2	0	1	6	e	tag127
474.842154	0.0001	1	1	1	0	2	73	f	1	0	0	0	1	74	e	tag128
474.985377	0.0001	1	2	2	0	2	26	e	1	1	1	0	1	27	e	tag129
475.033364	0.0001	1	2	2	0	2	25	e	1	1	1	0	1	26	f	tag130
475.504351	0.0001	1	3	3	0	2	8	f	1	2	2	0	1	7	f	tag131
476.117335	0.0001	1	1	1	0	2	71	f	1	0	0	0	1	72	e	tag132
476.315049	0.0001	1	3	3	0	2	9	f	1	2	2	0	1	8	e	tag133
476.331744	0.0001	1	2	2	0	2	24	e	1	1	1	0	1	25	e	tag134
476.480682	0.0001	1	2	2	0	2	23	e	1	1	1	0	1	24	f	tag135
477.128841	0.0001	1	3	3	0	2	10	f	1	2	2	0	1	9	f	tag136
477.395663	0.0001	1	1	1	0	2	69	f	1	0	0	0	1	70	e	tag137
477.695077	0.0001	1	2	2	0	2	22	e	1	1	1	0	1	23	e	tag138
477.937116	0.0001	1	2	2	0	2	21	e	1	1	1	0	1	22	f	tag139
477.945791	0.0001	1	3	3	0	2	11	f	1	2	2	0	1	10	e	tag140
478.677563	0.0001	1	1	1	0	2	67	f	1	0	0	0	1	68	e	tag141
478.765784	0.0001	1	3	3	0	2	12	f	1	2	2	0	1	11	f	tag142
479.075343	0.0001	1	2	2	0	2	20	e	1	1	1	0	1	21	e	tag143
479.402774	0.0001	1	2	2	0	2	19	e	1	1	1	0	1	20	f	tag144
479.588972	0.0001	1	3	3	0	2	13	f	1	2	2	0	1	12	e	tag145
479.963443	0.0001	1	1	1	0	2	65	f	1	0	0	0	1	66	e	tag146
480.415122	0.0001	1	3	3	0	2	14	f	1	2	2	0	1	13	f	tag147
480.47251	0.0001	1	2	2	0	2	18	e	1	1	1	0	1	19	e	tag148
480.877751	0.0001	1	2	2	0	2	17	e	1	1	1	0	1	18	f	tag149
481.244536	0.0001	1	3	3	0	2	15	f	1	2	2	0	1	14	e	tag150
481.253695	0.0001	1	1	1	0	2	63	f	1	0	0	0	1	64	e	tag151
481.886543	0.0001	1	2	2	0	2	16	e	1	1	1	0	1	17	e	tag152
482.07679	0.0001	1	3	3	0	2	16	f	1	2	2	0	1	15	f	tag153
482.362134	0.0001	1	2	2	0	2	15	e	1	1	1	0	1	16	f	tag154
482.548696	0.0001	1	1	1	0	2	61	f	1	0	0	0	1	62	e	tag155
482.912424	0.0001	1	3	3	0	2	17	f	1	2	2	0	1	16	e	tag156
483.317408	0.0001	1	2	2	0	2	14	e	1	1	1	0	1	15	e	tag157
483.750718	0.0001	1	3	3	0	2	18	f	1	2	2	0	1	17	f	tag158
483.848808	0.0001	1	1	1	0	2	59	f	1	0	0	0	1	60	e	tag159
483.855993	0.0001	1	2	2	0	2	13	e	1	1	1	0	1	14	f	tag160
484.592571	0.0001	1	3	3	0	2	19	f	1	2	2	0	1	18	e	tag161
484.76507	0.0001	1	2	2	0	2	12	e	1	1	1	0	1	13	e	tag162
485.154377	0.0001	1	1	1	0	2	57	f	1	0	0	0	1	58	e	tag163
485.359391	0.0001	1	2	2	0	2	11	e	1	1	1	0	1	12	f	tag164
485.43683	0.0001	1	3	3	0	2	20	f	1	2	2	0	1	19	f	tag165
486.229494	0.0001	1	2	2	0	2	10	e	1	1	1	0	1	11	e	tag166
486.284909	0.0001	1	3	3	0	2	21	f	1	2	2	0	1	20	e	tag167
486.465737	0.0001	1	1	1	0	2	55	f	1	0	0	0	1	56	e	tag168
486.872377	0.0001	1	2	2	0	2	9	e	1	1	1	0	1	10	f	tag169
487.135044	0.0001	1	3	3	0	2	22	f	1	2	2	0	1	21	f	tag170
487.710647	0.0001	1	2	2	0	2	8	e	1	1	1	0	1	9	e	tag171
487.783207	0.0001	1	1	1	0	2	53	f	1	0	0	0	1	54	e	tag172
487.989364	0.0001	1	3	3	0	2	23	f	1	2	2	0	1	22	e	tag173
488.394988	0.0001	1	2	2	0	2	7	e	1	1	1	0	1	8	f	tag174
488.84527	0.0001	1	3	3	0	2	24	f	1	2	2	0	1	23	f	tag175
489.107091	0.0001	1	1	1	0	2	51	f	1	0	0	0	1	52	e	tag176
489.208498	0.0001	1	2	2	0	2	6	e	1	1	1	0	1	7	e	tag177
489.705859	0.0001	1	3	3	0	2	25	f	1	2	2	0	1	24	e	tag178
489.927251	0.0001	1	2	2	0	2	5	e	1	1	1	0	1	6	f	tag179
490.43768	0.0001	1	1	1	0	2	49	f	1	0	0	0	1	50	e	tag180
490.567414	0.0001	1	3	3	0	2	26	f	1	2	2	0	1	25	f	tag181
490.723014	0.0001	1	2	2	0	2	4	e	1	1	1	0	1	5	e	tag182
491.434311	0.0001	1	3	3	0	2	27	f	1	2	2	0	1	26	e	tag183
491.469179	0.0001	1	2	2	0	2	3	e	1	1	1	0	1	4	f	tag184
491.775253	0.0001	1	1	1	0	2	47	f	1	0	0	0	1	48	e	tag185
492.254168	0.0001	1	2	2	0	2	2	e	1	1	1	0	1	3	e	tag186
492.301375	0.0001	1	3	3	0	2	28	f	1	2	2	0	1	27	f	tag187
493.120074	0.0001	1	1	1	0	2	45	f	1	0	0	0	1	46	e	tag188
493.174635	0.0001	1	3	3	0	2	29	f	1	2	2	0	1	28	e	tag189
494.047045	0.0001	1	3	3	0	2	30	f	1	2	2	0	1	29	f	tag190
494.472395	0.0001	1	1	1	0	2	43	f	1	0	0	0	1	44	e	tag191
494.58926	0.0001	1	2	2	0	2	2	e	1	1	1	0	1	2	f	tag192
494.606129	0.0001	1	2	2	0	2	4	e	1	1	1	0	1	4	f	tag193
494.606884	0.0001	1	2	2	0	2	3	e	1	1	1	0	1	3	e	tag194
494.632637	0.0001	1	2	2	0	2	6	e	1	1	1	0	1	6	f	tag195
494.644149	0.0001	1	2	2	0	2	5	e	1	1	1	0	1	5	e	tag196
494.668786	0.0001	1	2	2	0	2	8	e	1	1	1	0	1	8	f	tag197
494.697947	0.0001	1	2	2	0	2	7	e	1	1	1	0	1	7	e	tag198
494.714575	0.0001	1	2	2	0	2	10	e	1	1	1	0	1	10	f	tag199
494.768245	0.0001	1	2	2	0	2	9	e	1	1	1	0	1	9	e	tag200
494.770004	0.0001	1	2	2	0	2	12	e	1	1	1	0	1	12	f	tag201
494.835073	0.0001	1	2	2	0	2	14	e	1	1	1	0	1	14	f	tag202
494.855	0.0001	1	2	2	0	2	11	e	1	1	1	0	1	11	e	tag203
494.909781	0.0001	1	2	2	0	2	16	e	1	1	1	0	1	16	f	tag204
494.92674	0.0001	1	3	3	0	2	31	f	1	2	2	0	1	30	e	tag205
494.958159	0.0001	1	2	2	0	2	13	e	1	1	1	0	1	13	e	tag206
494.994126	0.0001	1	2	2	0	2	18	e	1	1	1	0	1	18	f	tag207
495.07766	0.0001	1	2	2	0	2	15	e	1	1	1	0	1	15	e	tag208
495.088102	0.0001	1	2	2	0	2	20	e	1	1	1	0	1	20	f	tag209
495.191705	0.0001	1	2	2	0	2	22	e	1	1	1	0	1	22	f	tag210
495.213429	0.0001	1	2	2	0	2	17	e	1	1	1	0	1	17	e	tag211
495.304925	0.0001	1	2	2	0	2	24	e	1	1	1	0	1	24	f	tag212
495.365385	0.0001	1	2	2	0	2	19	e	1	1	1	0	1	19	e	tag213
495.42775	0.0001	1	2	2	0	2	26	e	1	1	1	0	1	26	f	tag214
495.533433	0.0001	1	2	2	0	2	21	e	1	1	1	0	1	21	e	tag215
495.560164	0.0001	1	2	2	0	2	28	e	1	1	1	0	1	28	f	tag216
495.702147	0.0001	1	2	2	0	2	30	e	1	1	1	0	1	30	f	tag217
495.717472	0.0001	1	2	2	0	2	23	e	1	1	1	0	1	23	e	tag218
495.80431	0.0001	1	3	3	0	2	32	f	1	2	2	0	1	31	f	tag219
495.832456	0.0001	1	1	1	0	2	41	f	1	0	0	0	1	42	e	tag220
495.853672	0.0001	1	2	2	0	2	32	e	1	1	1	0	1	32	f	tag221
