v	unc	v1'	v2'	l2'	v3'	r'	J'	sym'	v1''	v2''	l2''	v3''	r''	J''	sym''	tag
9.086146	0.0001	0	0	0	0	1	12	e	0	0	0	0	1	11	e	tag1
9.843161	0.0001	0	0	0	0	1	13	f	0	0	0	0	1	12	e	tag2
10.600139	0.0001	0	0	0	0	1	14	e	0	0	0	0	1	13	e	tag3
11.357074	0.0001	0	0	0	0	1	15	f	0	0	0	0	1	14	e	tag4
12.113963	0.0001	0	0	0	0	1	16	e	0	0	0	0	1	15	e	tag5
12.870806	0.0001	0	0	0	0	1	17	f	0	0	0	0	1	16	e	tag6
13.627596	0.0001	0	0	0	0	1	18	e	0	0	0	0	1	17	e	tag7
14.384333	0.0001	0	0	0	0	1	19	f	0	0	0	0	1	18	e	tag8
15.141012	0.0001	0	0	0	0	1	20	e	0	0	0	0	1	19	e	tag9
15.897633	0.0001	0	0	0	0	1	21	f	0	0	0	0	1	20	e	tag10
16.654188	0.0001	0	0	0	0	1	22	e	0	0	0	0	1	21	e	tag11
17.410679	0.0001	0	0	0	0	1	23	f	0	0	0	0	1	22	e	tag12
18.167101	0.0001	0	0	0	0	1	24	e	0	0	0	0	1	23	e	tag13
18.923449	0.0001	0	0	0	0	1	25	f	0	0	0	0	1	24	e	tag14
19.679724	0.0001	0	0	0	0	1	26	e	0	0	0	0	1	25	e	tag15
20.43592	0.0001	0	0	0	0	1	27	f	0	0	0	0	1	26	e	tag16
21.192035	0.0001	0	0	0	0	1	28	e	0	0	0	0	1	27	e	tag17
21.948066	0.0001	0	0	0	0	1	29	f	0	0	0	0	1	28	e	tag18
22.70401	0.0001	0	0	0	0	1	30	e	0	0	0	0	1	29	e	tag19
23.459863	0.0001	0	0	0	0	1	31	f	0	0	0	0	1	30	e	tag20
24.215625	0.0001	0	0	0	0	1	32	e	0	0	0	0	1	31	e	tag21
24.971288	0.0001	0	0	0	0	1	33	f	0	0	0	0	1	32	e	tag22
25.726855	0.0001	0	0	0	0	1	34	e	0	0	0	0	1	33	e	tag23
26.482317	0.0001	0	0	0	0	1	35	f	0	0	0	0	1	34	e	tag24
27.237676	0.0001	0	0	0	0	1	36	e	0	0	0	0	1	35	e	tag25
27.992927	0.0001	0	0	0	0	1	37	f	0	0	0	0	1	36	e	tag26
28.748065	0.0001	0	0	0	0	1	38	e	0	0	0	0	1	37	e	tag27
29.503091	0.0001	0	0	0	0	1	39	f	0	0	0	0	1	38	e	tag28
30.257998	0.0001	0	0	0	0	1	40	e	0	0	0	0	1	39	e	tag29
31.012787	0.0001	0	0	0	0	1	41	f	0	0	0	0	1	40	e	tag30
31.767451	0.0001	0	0	0	0	1	42	e	0	0	0	0	1	41	e	tag31
493.881594	0.0001	1	1	1	0	2	46	e	1	0	0	0	1	47	e	tag32
494.466996	0.0001	1	2	2	0	2	7	f	1	1	1	0	1	7	f	tag33
494.482082	0.0001	1	2	2	0	2	8	e	1	1	1	0	1	8	f	tag34
494.499048	0.0001	1	2	2	0	2	9	f	1	1	1	0	1	9	f	tag35
494.514456	0.0001	1	2	2	0	2	7	e	1	1	1	0	1	7	e	tag36
494.517894	0.0001	1	2	2	0	2	10	e	1	1	1	0	1	10	f	tag37
494.538617	0.0001	1	2	2	0	2	11	f	1	1	1	0	1	11	f	tag38
494.543081	0.0001	1	2	2	0	2	8	f	1	1	1	0	1	8	e	tag39
494.558483	0.0001	1	1	1	0	2	45	f	1	0	0	0	1	46	e	tag40
494.561216	0.0001	1	2	2	0	2	12	e	1	1	1	0	1	12	f	tag41
494.575268	0.0001	1	2	2	0	2	9	e	1	1	1	0	1	9	e	tag42
494.585687	0.0001	1	2	2	0	2	13	f	1	1	1	0	1	13	f	tag43
494.611013	0.0001	1	2	2	0	2	10	f	1	1	1	0	1	10	e	tag44
494.612029	0.0001	1	2	2	0	2	14	e	1	1	1	0	1	14	f	tag45
494.640238	0.0001	1	2	2	0	2	15	f	1	1	1	0	1	15	f	tag46
494.650308	0.0001	1	2	2	0	2	11	e	1	1	1	0	1	11	e	tag47
494.670312	0.0001	1	2	2	0	2	16	e	1	1	1	0	1	16	f	tag48
494.693148	0.0001	1	2	2	0	2	12	f	1	1	1	0	1	12	e	tag49
494.702247	0.0001	1	2	2	0	2	17	f	1	1	1	0	1	17	f	tag50
494.73604	0.0001	1	2	2	0	2	18	e	1	1	1	0	1	18	f	tag51
494.739526	0.0001	1	2	2	0	2	13	e	1	1	1	0	1	13	e	tag52
494.771687	0.0001	1	2	2	0	2	19	f	1	1	1	0	1	19	f	tag53
494.789432	0.0001	1	2	2	0	2	14	f	1	1	1	0	1	14	e	tag54
494.809183	0.0001	1	2	2	0	2	20	e	1	1	1	0	1	20	f	tag55
494.842859	0.0001	1	2	2	0	2	15	e	1	1	1	0	1	15	e	tag56
494.848525	0.0001	1	2	2	0	2	21	f	1	1	1	0	1	21	f	tag57
494.889707	0.0001	1	2	2	0	2	22	e	1	1	1	0	1	22	f	tag58
494.899798	0.0001	1	2	2	0	2	16	f	1	1	1	0	1	16	e	tag59
494.932723	0.0001	1	2	2	0	2	23	f	1	1	1	0	1	23	f	tag60
494.960239	0.0001	1	2	2	0	2	17	e	1	1	1	0	1	17	e	tag61
494.97757	0.0001	1	2	2	0	2	24	e	1	1	1	0	1	24	f	tag62
495.024172	0.0001	1	2	2	0	2	18	f	1	1	1	0	1	18	e	tag63
495.024241	0.0001	1	2	2	0	2	25	f	1	1	1	0	1	25	f	tag64
495.072728	0.0001	1	2	2	0	2	26	e	1	1	1	0	1	26	f	tag65
495.091584	0.0001	1	2	2	0	2	19	e	1	1	1	0	1	19	e	tag66
495.123028	0.0001	1	2	2	0	2	27	f	1	1	1	0	1	27	f	tag67
495.162467	0.0001	1	2	2	0	2	20	f	1	1	1	0	1	20	e	tag68
495.17513	0.0001	1	2	2	0	2	28	e	1	1	1	0	1	28	f	tag69
495.22903	0.0001	1	2	2	0	2	29	f	1	1	1	0	1	29	f	tag70
495.236668	0.0001	1	1	1	0	2	44	e	1	0	0	0	1	45	e	tag71
495.236807	0.0001	1	2	2	0	2	21	e	1	1	1	0	1	21	e	tag72
495.284717	0.0001	1	2	2	0	2	30	e	1	1	1	0	1	30	f	tag73
495.31459	0.0001	1	2	2	0	2	22	f	1	1	1	0	1	22	e	tag74
495.395805	0.0001	1	2	2	0	2	23	e	1	1	1	0	1	23	e	tag75
495.480437	0.0001	1	2	2	0	2	24	f	1	1	1	0	1	24	e	tag76
495.568471	0.0001	1	2	2	0	2	25	e	1	1	1	0	1	25	e	tag77
495.659892	0.0001	1	2	2	0	2	26	f	1	1	1	0	1	26	e	tag78
495.754686	0.0001	1	2	2	0	2	27	e	1	1	1	0	1	27	e	tag79
495.852835	0.0001	1	2	2	0	2	28	f	1	1	1	0	1	28	e	tag80
495.916177	0.0001	1	1	1	0	2	43	f	1	0	0	0	1	44	e	tag81
495.954321	0.0001	1	2	2	0	2	29	e	1	1	1	0	1	29	e	tag82
496.597042	0.0001	1	1	1	0	2	42	e	1	0	0	0	1	43	e	tag83
497.279291	0.0001	1	1	1	0	2	41	f	1	0	0	0	1	42	e	tag84
497.962952	0.0001	1	1	1	0	2	40	e	1	0	0	0	1	41	e	tag85
498.648052	0.0001	1	1	1	0	2	39	f	1	0	0	0	1	40	e	tag86
499.334619	0.0001	1	1	1	0	2	38	e	1	0	0	0	1	39	e	tag87
500.022679	0.0001	1	1	1	0	2	37	f	1	0	0	0	1	38	e	tag88
500.712255	0.0001	1	1	1	0	2	36	e	1	0	0	0	1	37	e	tag89
501.403374	0.0001	1	1	1	0	2	35	f	1	0	0	0	1	36	e	tag90
502.096058	0.0001	1	1	1	0	2	34	e	1	0	0	0	1	35	e	tag91
502.79033	0.0001	1	1	1	0	2	33	f	1	0	0	0	1	34	e	tag92
502.885015	0.0001	1	2	2	0	2	11	e	1	1	1	0	1	10	f	tag93
502.978767	0.0001	1	2	2	0	2	11	f	1	1	1	0	1	10	e	tag94
503.486213	0.0001	1	1	1	0	2	32	e	1	0	0	0	1	33	e	tag95
503.666135	0.0001	1	2	2	0	2	12	f	1	1	1	0	1	11	f	tag96
503.778724	0.0001	1	2	2	0	2	12	e	1	1	1	0	1	11	e	tag97
504.183727	0.0001	1	1	1	0	2	31	f	1	0	0	0	1	32	e	tag98
504.449055	0.0001	1	2	2	0	2	13	e	1	1	1	0	1	12	f	tag99
504.582224	0.0001	1	2	2	0	2	13	f	1	1	1	0	1	12	e	tag100
504.882894	0.0001	1	1	1	0	2	30	e	1	0	0	0	1	31	e	tag101
505.233762	0.0001	1	2	2	0	2	14	f	1	1	1	0	1	13	f	tag102
505.389263	0.0001	1	2	2	0	2	14	e	1	1	1	0	1	13	e	tag103
505.583733	0.0001	1	1	1	0	2	29	f	1	0	0	0	1	30	e	tag104
506.020245	0.0001	1	2	2	0	2	15	e	1	1	1	0	1	14	f	tag105
506.199836	0.0001	1	2	2	0	2	15	f	1	1	1	0	1	14	e	tag106
506.286262	0.0001	1	1	1	0	2	28	e	1	0	0	0	1	29	e	tag107
506.808489	0.0001	1	2	2	0	2	16	f	1	1	1	0	1	15	f	tag108
506.990502	0.0001	1	1	1	0	2	27	f	1	0	0	0	1	28	e	tag109
507.01394	0.0001	1	2	2	0	2	16	e	1	1	1	0	1	15	e	tag110
507.598481	0.0001	1	2	2	0	2	17	e	1	1	1	0	1	16	f	tag111
507.696468	0.0001	1	1	1	0	2	26	e	1	0	0	0	1	27	e	tag112
507.83157	0.0001	1	2	2	0	2	17	f	1	1	1	0	1	16	e	tag113
508.390206	0.0001	1	2	2	0	2	18	f	1	1	1	0	1	17	f	tag114
508.404179	0.0001	1	1	1	0	2	25	f	1	0	0	0	1	26	e	tag115
508.652721	0.0001	1	2	2	0	2	18	e	1	1	1	0	1	17	e	tag116
509.113649	0.0001	1	1	1	0	2	24	e	1	0	0	0	1	25	e	tag117
509.183648	0.0001	1	2	2	0	2	19	e	1	1	1	0	1	18	f	tag118
509.477389	0.0001	1	2	2	0	2	19	f	1	1	1	0	1	18	e	tag119
509.824895	0.0001	1	1	1	0	2	23	f	1	0	0	0	1	24	e	tag120
509.978792	0.0001	1	2	2	0	2	20	f	1	1	1	0	1	19	f	tag121
510.305566	0.0001	1	2	2	0	2	20	e	1	1	1	0	1	19	e	tag122
510.537931	0.0001	1	1	1	0	2	22	e	1	0	0	0	1	23	e	tag123
511.252771	0.0001	1	1	1	0	2	21	f	1	0	0	0	1	22	e	tag124
511.969428	0.0001	1	1	1	0	2	20	e	1	0	0	0	1	21	e	tag125
512.687915	0.0001	1	1	1	0	2	19	f	1	0	0	0	1	20	e	tag126
513.408243	0.0001	1	1	1	0	2	18	e	1	0	0	0	1	19	e	tag127
514.130424	0.0001	1	1	1	0	2	17	f	1	0	0	0	1	18	e	tag128
514.854467	0.0001	1	1	1	0	2	16	e	1	0	0	0	1	17	e	tag129
515.580382	0.0001	1	1	1	0	2	15	f	1	0	0	0	1	16	e	tag130
516.308178	0.0001	1	1	1	0	2	14	e	1	0	0	0	1	15	e	tag131
517.037863	0.0001	1	1	1	0	2	13	f	1	0	0	0	1	14	e	tag132
517.769445	0.0001	1	1	1	0	2	12	e	1	0	0	0	1	13	e	tag133
518.50293	0.0001	1	1	1	0	2	11	f	1	0	0	0	1	12	e	tag134
519.238323	0.0001	1	1	1	0	2	10	e	1	0	0	0	1	11	e	tag135
519.975631	0.0001	1	1	1	0	2	9	f	1	0	0	0	1	10	e	tag136
520.714858	0.0001	1	1	1	0	2	8	e	1	0	0	0	1	9	e	tag137
521.456008	0.0001	1	1	1	0	2	7	f	1	0	0	0	1	8	e	tag138
522.199082	0.0001	1	1	1	0	2	6	e	1	0	0	0	1	7	e	tag139
522.944085	0.0001	1	1	1	0	2	5	f	1	0	0	0	1	6	e	tag140
523.691018	0.0001	1	1	1	0	2	4	e	1	0	0	0	1	5	e	tag141
524.43988	0.0001	1	1	1	0	2	3	f	1	0	0	0	1	4	e	tag142
525.190674	0.0001	1	1	1	0	2	2	e	1	0	0	0	1	3	e	tag143
525.943398	0.0001	1	1	1	0	2	1	f	1	0	0	0	1	2	e	tag144
527.458495	0.0001	1	1	1	0	2	1	e	1	0	0	0	1	1	e	tag145
527.466224	0.0001	1	1	1	0	2	2	f	1	0	0	0	1	2	e	tag146
527.477817	0.0001	1	1	1	0	2	3	e	1	0	0	0	1	3	e	tag147
527.493268	0.0001	1	1	1	0	2	4	f	1	0	0	0	1	4	e	tag148
527.512577	0.0001	1	1	1	0	2	5	e	1	0	0	0	1	5	e	tag149
527.535737	0.0001	1	1	1	0	2	6	f	1	0	0	0	1	6	e	tag150
527.562744	0.0001	1	1	1	0	2	7	e	1	0	0	0	1	7	e	tag151
527.593592	0.0001	1	1	1	0	2	8	f	1	0	0	0	1	8	e	tag152
527.628273	0.0001	1	1	1	0	2	9	e	1	0	0	0	1	9	e	tag153
527.66678	0.0001	1	1	1	0	2	10	f	1	0	0	0	1	10	e	tag154
527.709103	0.0001	1	1	1	0	2	11	e	1	0	0	0	1	11	e	tag155
527.755234	0.0001	1	1	1	0	2	12	f	1	0	0	0	1	12	e	tag156
527.805161	0.0001	1	1	1	0	2	13	e	1	0	0	0	1	13	e	tag157
527.858873	0.0001	1	1	1	0	2	14	f	1	0	0	0	1	14	e	tag158
527.916358	0.0001	1	1	1	0	2	15	e	1	0	0	0	1	15	e	tag159
527.977602	0.0001	1	1	1	0	2	16	f	1	0	0	0	1	16	e	tag160
528.042592	0.0001	1	1	1	0	2	17	e	1	0	0	0	1	17	e	tag161
528.111312	0.0001	1	1	1	0	2	18	f	1	0	0	0	1	18	e	tag162
528.183746	0.0001	1	1	1	0	2	19	e	1	0	0	0	1	19	e	tag163
528.213134	0.0001	1	1	1	0	2	1	f	1	0	0	0	1	0	e	tag164
528.259878	0.0001	1	1	1	0	2	20	f	1	0	0	0	1	20	e	tag165
528.33969	0.0001	1	1	1	0	2	21	e	1	0	0	0	1	21	e	tag166
528.423163	0.0001	1	1	1	0	2	22	f	1	0	0	0	1	22	e	tag167
528.510278	0.0001	1	1	1	0	2	23	e	1	0	0	0	1	23	e	tag168
528.601015	0.0001	1	1	1	0	2	24	f	1	0	0	0	1	24	e	tag169
