v	unc	v1'	v2'	l2'	v3'	r'	J'	sym'	v1''	v2''	l2''	v3''	r''	J''	sym''	tag
595.314299	0.0001	1	1	1	0	2	36	e	1	0	0	0	2	37	e	tag1
596.007074	0.0001	1	1	1	0	2	35	f	1	0	0	0	2	36	e	tag2
596.700557	0.0001	1	1	1	0	2	34	e	1	0	0	0	2	35	e	tag3
597.394742	0.0001	1	1	1	0	2	33	f	1	0	0	0	2	34	e	tag4
598.089619	0.0001	1	1	1	0	2	32	e	1	0	0	0	2	33	e	tag5
598.785183	0.0001	1	1	1	0	2	31	f	1	0	0	0	2	32	e	tag6
599.481424	0.0001	1	1	1	0	2	30	e	1	0	0	0	2	31	e	tag7
600.178337	0.0001	1	1	1	0	2	29	f	1	0	0	0	2	30	e	tag8
600.875913	0.0001	1	1	1	0	2	28	e	1	0	0	0	2	29	e	tag9
601.574147	0.0001	1	1	1	0	2	27	f	1	0	0	0	2	28	e	tag10
602.273029	0.0001	1	1	1	0	2	26	e	1	0	0	0	2	27	e	tag11
602.972555	0.0001	1	1	1	0	2	25	f	1	0	0	0	2	26	e	tag12
603.672716	0.0001	1	1	1	0	2	24	e	1	0	0	0	2	25	e	tag13
604.373507	0.0001	1	1	1	0	2	23	f	1	0	0	0	2	24	e	tag14
605.07492	0.0001	1	1	1	0	2	22	e	1	0	0	0	2	23	e	tag15
605.776951	0.0001	1	1	1	0	2	21	f	1	0	0	0	2	22	e	tag16
606.479591	0.0001	1	1	1	0	2	20	e	1	0	0	0	2	21	e	tag17
607.182836	0.0001	1	1	1	0	2	19	f	1	0	0	0	2	20	e	tag18
607.886678	0.0001	1	1	1	0	2	18	e	1	0	0	0	2	19	e	tag19
608.591113	0.0001	1	1	1	0	2	17	f	1	0	0	0	2	18	e	tag20
609.296135	0.0001	1	1	1	0	2	16	e	1	0	0	0	2	17	e	tag21
610.001737	0.0001	1	1	1	0	2	15	f	1	0	0	0	2	16	e	tag22
610.707916	0.0001	1	1	1	0	2	14	e	1	0	0	0	2	15	e	tag23
611.414664	0.0001	1	1	1	0	2	13	f	1	0	0	0	2	14	e	tag24
612.121977	0.0001	1	1	1	0	2	12	e	1	0	0	0	2	13	e	tag25
612.829851	0.0001	1	1	1	0	2	11	f	1	0	0	0	2	12	e	tag26
613.53828	0.0001	1	1	1	0	2	10	e	1	0	0	0	2	11	e	tag27
614.247259	0.0001	1	1	1	0	2	9	f	1	0	0	0	2	10	e	tag28
614.956784	0.0001	1	1	1	0	2	8	e	1	0	0	0	2	9	e	tag29
615.66685	0.0001	1	1	1	0	2	7	f	1	0	0	0	2	8	e	tag30
616.377454	0.0001	1	1	1	0	2	6	e	1	0	0	0	2	7	e	tag31
617.08859	0.0001	1	1	1	0	2	5	f	1	0	0	0	2	6	e	tag32
617.800255	0.0001	1	1	1	0	2	4	e	1	0	0	0	2	5	e	tag33
618.512445	0.0001	1	1	1	0	2	3	f	1	0	0	0	2	4	e	tag34
621.368523	0.0001	1	1	1	0	2	1	e	1	0	0	0	2	1	e	tag35
621.3728	0.0001	1	1	1	0	2	2	f	1	0	0	0	2	2	e	tag36
621.379215	0.0001	1	1	1	0	2	3	e	1	0	0	0	2	3	e	tag37
621.387768	0.0001	1	1	1	0	2	4	f	1	0	0	0	2	4	e	tag38
621.39846	0.0001	1	1	1	0	2	5	e	1	0	0	0	2	5	e	tag39
621.411291	0.0001	1	1	1	0	2	6	f	1	0	0	0	2	6	e	tag40
621.42626	0.0001	1	1	1	0	2	7	e	1	0	0	0	2	7	e	tag41
621.443368	0.0001	1	1	1	0	2	8	f	1	0	0	0	2	8	e	tag42
621.462614	0.0001	1	1	1	0	2	9	e	1	0	0	0	2	9	e	tag43
621.484	0.0001	1	1	1	0	2	10	f	1	0	0	0	2	10	e	tag44
621.507524	0.0001	1	1	1	0	2	11	e	1	0	0	0	2	11	e	tag45
621.533188	0.0001	1	1	1	0	2	12	f	1	0	0	0	2	12	e	tag46
621.560991	0.0001	1	1	1	0	2	13	e	1	0	0	0	2	13	e	tag47
621.590933	0.0001	1	1	1	0	2	14	f	1	0	0	0	2	14	e	tag48
621.623014	0.0001	1	1	1	0	2	15	e	1	0	0	0	2	15	e	tag49
621.657236	0.0001	1	1	1	0	2	16	f	1	0	0	0	2	16	e	tag50
621.693597	0.0001	1	1	1	0	2	17	e	1	0	0	0	2	17	e	tag51
621.732098	0.0001	1	1	1	0	2	18	f	1	0	0	0	2	18	e	tag52
621.772739	0.0001	1	1	1	0	2	19	e	1	0	0	0	2	19	e	tag53
621.81552	0.0001	1	1	1	0	2	20	f	1	0	0	0	2	20	e	tag54
621.860442	0.0001	1	1	1	0	2	21	e	1	0	0	0	2	21	e	tag55
621.907504	0.0001	1	1	1	0	2	22	f	1	0	0	0	2	22	e	tag56
621.956707	0.0001	1	1	1	0	2	23	e	1	0	0	0	2	23	e	tag57
622.00805	0.0001	1	1	1	0	2	24	f	1	0	0	0	2	24	e	tag58
622.061535	0.0001	1	1	1	0	2	25	e	1	0	0	0	2	25	e	tag59
622.117161	0.0001	1	1	1	0	2	26	f	1	0	0	0	2	26	e	tag60
622.174927	0.0001	1	1	1	0	2	27	e	1	0	0	0	2	27	e	tag61
622.234836	0.0001	1	1	1	0	2	28	f	1	0	0	0	2	28	e	tag62
622.296885	0.0001	1	1	1	0	2	29	e	1	0	0	0	2	29	e	tag63
622.361076	0.0001	1	1	1	0	2	30	f	1	0	0	0	2	30	e	tag64
622.427409	0.0001	1	1	1	0	2	31	e	1	0	0	0	2	31	e	tag65
622.495883	0.0001	1	1	1	0	2	32	f	1	0	0	0	2	32	e	tag66
622.566498	0.0001	1	1	1	0	2	33	e	1	0	0	0	2	33	e	tag67
622.639255	0.0001	1	1	1	0	2	34	f	1	0	0	0	2	34	e	tag68
