v	unc	v1'	v2'	l2'	v3'	r'	J'	sym'	v1''	v2''	l2''	v3''	r''	J''	sym''	tag
585.155321	0.0001	1	1	1	0	2	49	f	1	0	0	0	2	50	e	tag1
586.470071	0.0001	1	1	1	0	2	47	f	1	0	0	0	2	48	e	tag2
587.788394	0.0001	1	1	1	0	2	45	f	1	0	0	0	2	46	e	tag3
589.110232	0.0001	1	1	1	0	2	43	f	1	0	0	0	2	44	e	tag4
590.435528	0.0001	1	1	1	0	2	41	f	1	0	0	0	2	42	e	tag5
591.764226	0.0001	1	1	1	0	2	39	f	1	0	0	0	2	40	e	tag6
593.09627	0.0001	1	1	1	0	2	37	f	1	0	0	0	2	38	e	tag7
594.431605	0.0001	1	1	1	0	2	35	f	1	0	0	0	2	36	e	tag8
595.770179	0.0001	1	1	1	0	2	33	f	1	0	0	0	2	34	e	tag9
597.111938	0.0001	1	1	1	0	2	31	f	1	0	0	0	2	32	e	tag10
598.456833	0.0001	1	1	1	0	2	29	f	1	0	0	0	2	30	e	tag11
599.804814	0.0001	1	1	1	0	2	27	f	1	0	0	0	2	28	e	tag12
601.155832	0.0001	1	1	1	0	2	25	f	1	0	0	0	2	26	e	tag13
602.509841	0.0001	1	1	1	0	2	23	f	1	0	0	0	2	24	e	tag14
603.866795	0.0001	1	1	1	0	2	21	f	1	0	0	0	2	22	e	tag15
605.226652	0.0001	1	1	1	0	2	19	f	1	0	0	0	2	20	e	tag16
606.589368	0.0001	1	1	1	0	2	17	f	1	0	0	0	2	18	e	tag17
607.954904	0.0001	1	1	1	0	2	15	f	1	0	0	0	2	16	e	tag18
609.323221	0.0001	1	1	1	0	2	13	f	1	0	0	0	2	14	e	tag19
610.694282	0.0001	1	1	1	0	2	11	f	1	0	0	0	2	12	e	tag20
612.068052	0.0001	1	1	1	0	2	9	f	1	0	0	0	2	10	e	tag21
613.444497	0.0001	1	1	1	0	2	7	f	1	0	0	0	2	8	e	tag22
614.823587	0.0001	1	1	1	0	2	5	f	1	0	0	0	2	6	e	tag23
616.205292	0.0001	1	1	1	0	2	3	f	1	0	0	0	2	4	e	tag24
617.589583	0.0001	1	1	1	0	2	1	f	1	0	0	0	2	2	e	tag25
618.982815	0.0001	1	1	1	0	2	2	f	1	0	0	0	2	2	e	tag26
618.997699	0.0001	1	1	1	0	2	4	f	1	0	0	0	2	4	e	tag27
619.021089	0.0001	1	1	1	0	2	6	f	1	0	0	0	2	6	e	tag28
619.052983	0.0001	1	1	1	0	2	8	f	1	0	0	0	2	8	e	tag29
619.093383	0.0001	1	1	1	0	2	10	f	1	0	0	0	2	10	e	tag30
619.142287	0.0001	1	1	1	0	2	12	f	1	0	0	0	2	12	e	tag31
619.199695	0.0001	1	1	1	0	2	14	f	1	0	0	0	2	14	e	tag32
619.265607	0.0001	1	1	1	0	2	16	f	1	0	0	0	2	16	e	tag33
619.340022	0.0001	1	1	1	0	2	18	f	1	0	0	0	2	18	e	tag34
619.422939	0.0001	1	1	1	0	2	20	f	1	0	0	0	2	20	e	tag35
619.514357	0.0001	1	1	1	0	2	22	f	1	0	0	0	2	22	e	tag36
619.614275	0.0001	1	1	1	0	2	24	f	1	0	0	0	2	24	e	tag37
619.670815	0.0001	1	1	1	0	2	1	f	1	0	0	0	2	0	e	tag38
619.722691	0.0001	1	1	1	0	2	26	f	1	0	0	0	2	26	e	tag39
619.839603	0.0001	1	1	1	0	2	28	f	1	0	0	0	2	28	e	tag40
619.96501	0.0001	1	1	1	0	2	30	f	1	0	0	0	2	30	e	tag41
620.098907	0.0001	1	1	1	0	2	32	f	1	0	0	0	2	32	e	tag42
620.241293	0.0001	1	1	1	0	2	34	f	1	0	0	0	2	34	e	tag43
620.392163	0.0001	1	1	1	0	2	36	f	1	0	0	0	2	36	e	tag44
620.551513	0.0001	1	1	1	0	2	38	f	1	0	0	0	2	38	e	tag45
620.719338	0.0001	1	1	1	0	2	40	f	1	0	0	0	2	40	e	tag46
620.895633	0.0001	1	1	1	0	2	42	f	1	0	0	0	2	42	e	tag47
621.061465	0.0001	1	1	1	0	2	3	f	1	0	0	0	2	2	e	tag48
621.080392	0.0001	1	1	1	0	2	44	f	1	0	0	0	2	44	e	tag49
621.273606	0.0001	1	1	1	0	2	46	f	1	0	0	0	2	46	e	tag50
621.475268	0.0001	1	1	1	0	2	48	f	1	0	0	0	2	48	e	tag51
621.685369	0.0001	1	1	1	0	2	50	f	1	0	0	0	2	50	e	tag52
622.45462	0.0001	1	1	1	0	2	5	f	1	0	0	0	2	4	e	tag53
623.850262	0.0001	1	1	1	0	2	7	f	1	0	0	0	2	6	e	tag54
624.130653	0.0001	1	2	2	0	2	8	e	1	1	1	0	2	8	f	tag55
624.141231	0.0001	1	2	2	0	2	10	e	1	1	1	0	2	10	f	tag56
624.154067	0.0001	1	2	2	0	2	12	e	1	1	1	0	2	12	f	tag57
624.167951	0.0001	1	2	2	0	2	7	e	1	1	1	0	2	7	e	tag58
624.169177	0.0001	1	2	2	0	2	14	e	1	1	1	0	2	14	f	tag59
624.186581	0.0001	1	2	2	0	2	16	e	1	1	1	0	2	16	f	tag60
624.202718	0.0001	1	2	2	0	2	9	e	1	1	1	0	2	9	e	tag61
624.2063	0.0001	1	2	2	0	2	18	e	1	1	1	0	2	18	f	tag62
624.22836	0.0001	1	2	2	0	2	20	e	1	1	1	0	2	20	f	tag63
624.245656	0.0001	1	2	2	0	2	11	e	1	1	1	0	2	11	e	tag64
624.252786	0.0001	1	2	2	0	2	22	e	1	1	1	0	2	22	f	tag65
624.279608	0.0001	1	2	2	0	2	24	e	1	1	1	0	2	24	f	tag66
624.296761	0.0001	1	2	2	0	2	13	e	1	1	1	0	2	13	e	tag67
624.308853	0.0001	1	2	2	0	2	26	e	1	1	1	0	2	26	f	tag68
624.340554	0.0001	1	2	2	0	2	28	e	1	1	1	0	2	28	f	tag69
624.356024	0.0001	1	2	2	0	2	15	e	1	1	1	0	2	15	e	tag70
624.374743	0.0001	1	2	2	0	2	30	e	1	1	1	0	2	30	f	tag71
624.423439	0.0001	1	2	2	0	2	17	e	1	1	1	0	2	17	e	tag72
624.498996	0.0001	1	2	2	0	2	19	e	1	1	1	0	2	19	e	tag73
624.582685	0.0001	1	2	2	0	2	21	e	1	1	1	0	2	21	e	tag74
624.674495	0.0001	1	2	2	0	2	23	e	1	1	1	0	2	23	e	tag75
624.774415	0.0001	1	2	2	0	2	25	e	1	1	1	0	2	25	e	tag76
624.882429	0.0001	1	2	2	0	2	27	e	1	1	1	0	2	27	e	tag77
624.998525	0.0001	1	2	2	0	2	29	e	1	1	1	0	2	29	e	tag78
625.203585	0.0001	1	1	1	0	1	47	f	1	0	0	0	1	48	e	tag79
625.248371	0.0001	1	1	1	0	2	9	f	1	0	0	0	2	8	e	tag80
626.568753	0.0001	1	1	1	0	1	45	f	1	0	0	0	1	46	e	tag81
626.648935	0.0001	1	1	1	0	2	11	f	1	0	0	0	2	10	e	tag82
627.93452	0.0001	1	1	1	0	1	43	f	1	0	0	0	1	44	e	tag83
628.051938	0.0001	1	1	1	0	2	13	f	1	0	0	0	2	12	e	tag84
629.300947	0.0001	1	1	1	0	1	41	f	1	0	0	0	1	42	e	tag85
629.457369	0.0001	1	1	1	0	2	15	f	1	0	0	0	2	14	e	tag86
630.66809	0.0001	1	1	1	0	1	39	f	1	0	0	0	1	40	e	tag87
630.865219	0.0001	1	1	1	0	2	17	f	1	0	0	0	2	16	e	tag88
631.801208	0.0001	1	2	2	0	2	11	e	1	1	1	0	2	10	f	tag89
632.036002	0.0001	1	1	1	0	1	37	f	1	0	0	0	1	38	e	tag90
632.275479	0.0001	1	1	1	0	2	19	f	1	0	0	0	2	18	e	tag91
632.602072	0.0001	1	2	2	0	2	12	e	1	1	1	0	2	11	e	tag92
633.206411	0.0001	1	2	2	0	2	13	e	1	1	1	0	2	12	f	tag93
633.404733	0.0001	1	1	1	0	1	35	f	1	0	0	0	1	36	e	tag94
633.688144	0.0001	1	1	1	0	2	21	f	1	0	0	0	2	20	e	tag95
634.045651	0.0001	1	2	2	0	2	14	e	1	1	1	0	2	13	e	tag96
634.613698	0.0001	1	2	2	0	2	15	e	1	1	1	0	2	14	f	tag97
634.774328	0.0001	1	1	1	0	1	33	f	1	0	0	0	1	34	e	tag98
635.103209	0.0001	1	1	1	0	2	23	f	1	0	0	0	2	22	e	tag99
635.497284	0.0001	1	2	2	0	2	16	e	1	1	1	0	2	15	e	tag100
636.023051	0.0001	1	2	2	0	2	17	e	1	1	1	0	2	16	f	tag101
636.144829	0.0001	1	1	1	0	1	31	f	1	0	0	0	1	32	e	tag102
636.520671	0.0001	1	1	1	0	2	25	f	1	0	0	0	2	24	e	tag103
636.956954	0.0001	1	2	2	0	2	18	e	1	1	1	0	2	17	e	tag104
637.434453	0.0001	1	2	2	0	2	19	e	1	1	1	0	2	18	f	tag105
637.516275	0.0001	1	1	1	0	1	29	f	1	0	0	0	1	30	e	tag106
637.94053	0.0001	1	1	1	0	2	27	f	1	0	0	0	2	26	e	tag107
638.424647	0.0001	1	2	2	0	2	20	e	1	1	1	0	2	19	e	tag108
638.84789	0.0001	1	2	2	0	2	21	e	1	1	1	0	2	20	f	tag109
638.888699	0.0001	1	1	1	0	1	27	f	1	0	0	0	1	28	e	tag110
639.362785	0.0001	1	1	1	0	2	29	f	1	0	0	0	2	28	e	tag111
639.900348	0.0001	1	2	2	0	2	22	e	1	1	1	0	2	21	e	tag112
640.262134	0.0001	1	1	1	0	1	25	f	1	0	0	0	1	26	e	tag113
640.787439	0.0001	1	1	1	0	2	31	f	1	0	0	0	2	30	e	tag114
641.636606	0.0001	1	1	1	0	1	23	f	1	0	0	0	1	24	e	tag115
642.214496	0.0001	1	1	1	0	2	33	f	1	0	0	0	2	32	e	tag116
643.01214	0.0001	1	1	1	0	1	21	f	1	0	0	0	1	22	e	tag117
643.643961	0.0001	1	1	1	0	2	35	f	1	0	0	0	2	34	e	tag118
644.388756	0.0001	1	1	1	0	1	19	f	1	0	0	0	1	20	e	tag119
645.07584	0.0001	1	1	1	0	2	37	f	1	0	0	0	2	36	e	tag120
645.766471	0.0001	1	1	1	0	1	17	f	1	0	0	0	1	18	e	tag121
