v	unc	v1'	v2'	l2'	v3'	r'	J'	sym'	v1''	v2''	l2''	v3''	r''	J''	sym''	tag
535.383728	0.0001	1	1	1	0	2	9	e	1	0	0	0	1	9	e	tag1
535.416258	0.0001	1	1	1	0	2	11	e	1	0	0	0	1	11	e	tag2
535.454823	0.0001	1	1	1	0	2	13	e	1	0	0	0	1	13	e	tag3
535.49934	0.0001	1	1	1	0	2	15	e	1	0	0	0	1	15	e	tag4
535.523801	0.0001	1	1	1	0	2	16	f	1	0	0	0	1	16	e	tag5
535.549712	0.0001	1	1	1	0	2	17	e	1	0	0	0	1	17	e	tag6
535.57706	0.0001	1	1	1	0	2	18	f	1	0	0	0	1	18	e	tag7
535.605828	0.0001	1	1	1	0	2	19	e	1	0	0	0	1	19	e	tag8
535.667564	0.0001	1	1	1	0	2	21	e	1	0	0	0	1	21	e	tag9
535.734783	0.0001	1	1	1	0	2	23	e	1	0	0	0	1	23	e	tag10
535.807334	0.0001	1	1	1	0	2	25	e	1	0	0	0	1	25	e	tag11
535.885053	0.0001	1	1	1	0	2	27	e	1	0	0	0	1	27	e	tag12
548.693284	0.0001	1	1	1	0	2	34	e	0	2	2	0	1	35	e	tag13
548.863494	0.0001	1	1	1	0	2	35	e	0	2	2	0	1	36	f	tag14
550.242301	0.0001	1	0	0	0	2	59	f	0	1	1	0	1	60	e	tag15
550.305775	0.0001	1	1	1	0	2	32	e	0	2	2	0	1	33	e	tag16
550.374244	0.0001	1	1	1	0	2	33	e	0	2	2	0	1	34	f	tag17
551.108938	0.0001	1	1	1	0	2	31	f	0	2	2	0	1	32	e	tag18
551.840839	0.0001	1	0	0	0	2	57	f	0	1	1	0	1	58	e	tag19
551.882579	0.0001	1	1	1	0	2	31	e	0	2	2	0	1	32	f	tag20
551.910047	0.0001	1	1	1	0	2	30	e	0	2	2	0	1	31	e	tag21
552.635862	0.0001	1	1	1	0	2	30	f	0	2	2	0	1	31	f	tag22
552.638031	0.0001	1	0	0	0	2	56	e	0	1	1	0	1	57	e	tag23
552.7091	0.0001	1	1	1	0	2	29	f	0	2	2	0	1	30	e	tag24
553.388563	0.0001	1	1	1	0	2	29	e	0	2	2	0	1	30	f	tag25
553.433858	0.0001	1	0	0	0	2	55	f	0	1	1	0	1	56	e	tag26
553.506099	0.0001	1	1	1	0	2	28	e	0	2	2	0	1	29	e	tag27
554.140692	0.0001	1	1	1	0	2	28	f	0	2	2	0	1	29	f	tag28
554.228335	0.0001	1	0	0	0	2	54	e	0	1	1	0	1	55	e	tag29
554.301043	0.0001	1	1	1	0	2	27	f	0	2	2	0	1	28	e	tag30
554.892254	0.0001	1	1	1	0	2	27	e	0	2	2	0	1	28	f	tag31
555.021475	0.0001	1	0	0	0	2	53	f	0	1	1	0	1	54	e	tag32
555.093932	0.0001	1	1	1	0	2	26	e	0	2	2	0	1	27	e	tag33
555.643256	0.0001	1	1	1	0	2	26	f	0	2	2	0	1	27	f	tag34
555.813295	0.0001	1	0	0	0	2	52	e	0	1	1	0	1	53	e	tag35
555.884767	0.0001	1	1	1	0	2	25	f	0	2	2	0	1	26	e	tag36
556.393705	0.0001	1	1	1	0	2	25	e	0	2	2	0	1	26	f	tag37
556.603806	0.0001	1	0	0	0	2	51	f	0	1	1	0	1	52	e	tag38
556.673548	0.0001	1	1	1	0	2	24	e	0	2	2	0	1	25	e	tag39
557.143606	0.0001	1	1	1	0	2	24	f	0	2	2	0	1	25	f	tag40
557.393025	0.0001	1	0	0	0	2	50	e	0	1	1	0	1	51	e	tag41
557.460274	0.0001	1	1	1	0	2	23	f	0	2	2	0	1	24	e	tag42
557.892964	0.0001	1	1	1	0	2	23	e	0	2	2	0	1	24	f	tag43
558.180963	0.0001	1	0	0	0	2	49	f	0	1	1	0	1	50	e	tag44
558.244945	0.0001	1	1	1	0	2	22	e	0	2	2	0	1	23	e	tag45
558.641786	0.0001	1	1	1	0	2	22	f	0	2	2	0	1	23	f	tag46
558.967635	0.0001	1	0	0	0	2	48	e	0	1	1	0	1	49	e	tag47
559.02756	0.0001	1	1	1	0	2	21	f	0	2	2	0	1	22	e	tag48
559.390075	0.0001	1	1	1	0	2	21	e	0	2	2	0	1	22	f	tag49
559.753054	0.0001	1	0	0	0	2	47	f	0	1	1	0	1	48	e	tag50
559.808121	0.0001	1	1	1	0	2	20	e	0	2	2	0	1	21	e	tag51
560.137837	0.0001	1	1	1	0	2	20	f	0	2	2	0	1	21	f	tag52
560.537233	0.0001	1	0	0	0	2	46	e	0	1	1	0	1	47	e	tag53
560.586626	0.0001	1	1	1	0	2	19	f	0	2	2	0	1	20	e	tag54
560.885076	0.0001	1	1	1	0	2	19	e	0	2	2	0	1	20	f	tag55
561.320184	0.0001	1	0	0	0	2	45	f	0	1	1	0	1	46	e	tag56
561.363074	0.0001	1	1	1	0	2	18	e	0	2	2	0	1	19	e	tag57
561.631795	0.0001	1	1	1	0	2	18	f	0	2	2	0	1	19	f	tag58
562.101921	0.0001	1	0	0	0	2	44	e	0	1	1	0	1	45	e	tag59
562.137466	0.0001	1	1	1	0	2	17	f	0	2	2	0	1	18	e	tag60
562.377998	0.0001	1	1	1	0	2	17	e	0	2	2	0	1	18	f	tag61
562.882455	0.0001	1	0	0	0	2	43	f	0	1	1	0	1	44	e	tag62
562.9098	0.0001	1	1	1	0	2	16	e	0	2	2	0	1	17	e	tag63
563.123689	0.0001	1	1	1	0	2	16	f	0	2	2	0	1	17	f	tag64
563.661799	0.0001	1	0	0	0	2	42	e	0	1	1	0	1	43	e	tag65
563.680076	0.0001	1	1	1	0	2	15	f	0	2	2	0	1	16	e	tag66
563.86887	0.0001	1	1	1	0	2	15	e	0	2	2	0	1	16	f	tag67
564.439964	0.0001	1	0	0	0	2	41	f	0	1	1	0	1	42	e	tag68
564.448293	0.0001	1	1	1	0	2	14	e	0	2	2	0	1	15	e	tag69
564.613543	0.0001	1	1	1	0	2	14	f	0	2	2	0	1	15	f	tag70
