v	unc	v1'	v2'	l2'	v3'	r'	J'	sym'	v1''	v2''	l2''	v3''	r''	J''	sym''	tag
482.813836	0.0001	1	1	1	0	2	53	f	1	0	0	0	1	54	e	tag1
484.308343	0.0001	1	1	1	0	2	51	f	1	0	0	0	1	52	e	tag2
485.797125	0.0001	1	1	1	0	2	49	f	1	0	0	0	1	50	e	tag3
487.28039	0.0001	1	1	1	0	2	47	f	1	0	0	0	1	48	e	tag4
488.758342	0.0001	1	1	1	0	2	45	f	1	0	0	0	1	46	e	tag5
490.231171	0.0001	1	1	1	0	2	43	f	1	0	0	0	1	44	e	tag6
491.69906	0.0001	1	1	1	0	2	41	f	1	0	0	0	1	42	e	tag7
493.162185	0.0001	1	1	1	0	2	39	f	1	0	0	0	1	40	e	tag8
494.620708	0.0001	1	1	1	0	2	37	f	1	0	0	0	1	38	e	tag9
496.074787	0.0001	1	1	1	0	2	35	f	1	0	0	0	1	36	e	tag10
497.524569	0.0001	1	1	1	0	2	33	f	1	0	0	0	1	34	e	tag11
498.97019	0.0001	1	1	1	0	2	31	f	1	0	0	0	1	32	e	tag12
500.411779	0.0001	1	1	1	0	2	29	f	1	0	0	0	1	30	e	tag13
501.849456	0.0001	1	1	1	0	2	27	f	1	0	0	0	1	28	e	tag14
503.283332	0.0001	1	1	1	0	2	25	f	1	0	0	0	1	26	e	tag15
504.713507	0.0001	1	1	1	0	2	23	f	1	0	0	0	1	24	e	tag16
506.140075	0.0001	1	1	1	0	2	21	f	1	0	0	0	1	22	e	tag17
507.563119	0.0001	1	1	1	0	2	19	f	1	0	0	0	1	20	e	tag18
508.982713	0.0001	1	1	1	0	2	17	f	1	0	0	0	1	18	e	tag19
510.398923	0.0001	1	1	1	0	2	15	f	1	0	0	0	1	16	e	tag20
511.811805	0.0001	1	1	1	0	2	13	f	1	0	0	0	1	14	e	tag21
513.221407	0.0001	1	1	1	0	2	11	f	1	0	0	0	1	12	e	tag22
514.627766	0.0001	1	1	1	0	2	9	f	1	0	0	0	1	10	e	tag23
516.030913	0.0001	1	1	1	0	2	7	f	1	0	0	0	1	8	e	tag24
517.430867	0.0001	1	1	1	0	2	5	f	1	0	0	0	1	6	e	tag25
518.827641	0.0001	1	1	1	0	2	3	f	1	0	0	0	1	4	e	tag26
520.221237	0.0001	1	1	1	0	2	1	f	1	0	0	0	1	2	e	tag27
521.613253	0.0001	1	1	1	0	2	2	f	1	0	0	0	1	2	e	tag28
521.616992	0.0001	1	1	1	0	2	4	f	1	0	0	0	1	4	e	tag29
521.622845	0.0001	1	1	1	0	2	6	f	1	0	0	0	1	6	e	tag30
521.630783	0.0001	1	1	1	0	2	8	f	1	0	0	0	1	8	e	tag31
521.640769	0.0001	1	1	1	0	2	10	f	1	0	0	0	1	10	e	tag32
521.65275	0.0001	1	1	1	0	2	12	f	1	0	0	0	1	12	e	tag33
521.666667	0.0001	1	1	1	0	2	14	f	1	0	0	0	1	14	e	tag34
521.682449	0.0001	1	1	1	0	2	16	f	1	0	0	0	1	16	e	tag35
521.700015	0.0001	1	1	1	0	2	18	f	1	0	0	0	1	18	e	tag36
521.719273	0.0001	1	1	1	0	2	20	f	1	0	0	0	1	20	e	tag37
521.74012	0.0001	1	1	1	0	2	22	f	1	0	0	0	1	22	e	tag38
521.762443	0.0001	1	1	1	0	2	24	f	1	0	0	0	1	24	e	tag39
521.78612	0.0001	1	1	1	0	2	26	f	1	0	0	0	1	26	e	tag40
521.811016	0.0001	1	1	1	0	2	28	f	1	0	0	0	1	28	e	tag41
521.836988	0.0001	1	1	1	0	2	30	f	1	0	0	0	1	30	e	tag42
521.86388	0.0001	1	1	1	0	2	32	f	1	0	0	0	1	32	e	tag43
521.891529	0.0001	1	1	1	0	2	34	f	1	0	0	0	1	34	e	tag44
521.919758	0.0001	1	1	1	0	2	36	f	1	0	0	0	1	36	e	tag45
521.948382	0.0001	1	1	1	0	2	38	f	1	0	0	0	1	38	e	tag46
521.977206	0.0001	1	1	1	0	2	40	f	1	0	0	0	1	40	e	tag47
522.006021	0.0001	1	1	1	0	2	42	f	1	0	0	0	1	42	e	tag48
522.034613	0.0001	1	1	1	0	2	44	f	1	0	0	0	1	44	e	tag49
522.062754	0.0001	1	1	1	0	2	46	f	1	0	0	0	1	46	e	tag50
522.090206	0.0001	1	1	1	0	2	48	f	1	0	0	0	1	48	e	tag51
522.116724	0.0001	1	1	1	0	2	50	f	1	0	0	0	1	50	e	tag52
522.142048	0.0001	1	1	1	0	2	52	f	1	0	0	0	1	52	e	tag53
522.165911	0.0001	1	1	1	0	2	54	f	1	0	0	0	1	54	e	tag54
522.188036	0.0001	1	1	1	0	2	56	f	1	0	0	0	1	56	e	tag55
522.208135	0.0001	1	1	1	0	2	58	f	1	0	0	0	1	58	e	tag56
522.22591	0.0001	1	1	1	0	2	60	f	1	0	0	0	1	60	e	tag57
522.305654	0.0001	1	1	1	0	2	1	f	1	0	0	0	1	0	e	tag58
523.691256	0.0001	1	1	1	0	2	3	f	1	0	0	0	1	2	e	tag59
525.073618	0.0001	1	1	1	0	2	5	f	1	0	0	0	1	4	e	tag60
526.452701	0.0001	1	1	1	0	2	7	f	1	0	0	0	1	6	e	tag61
527.82846	0.0001	1	1	1	0	2	9	f	1	0	0	0	1	8	e	tag62
529.200837	0.0001	1	1	1	0	2	11	f	1	0	0	0	1	10	e	tag63
