v	unc	v1'	v2'	l2'	v3'	r'	J'	sym'	v1''	v2''	l2''	v3''	r''	J''	sym''	tag
498.616965	0.0001	1	1	1	0	2	41	f	1	0	0	0	1	42	e	tag1
499.355198	0.0001	1	1	1	0	2	40	e	1	0	0	0	1	41	e	tag2
500.092563	0.0001	1	1	1	0	2	39	f	1	0	0	0	1	40	e	tag3
500.829084	0.0001	1	1	1	0	2	38	e	1	0	0	0	1	39	e	tag4
501.564782	0.0001	1	1	1	0	2	37	f	1	0	0	0	1	38	e	tag5
502.299679	0.0001	1	1	1	0	2	36	e	1	0	0	0	1	37	e	tag6
503.033798	0.0001	1	1	1	0	2	35	f	1	0	0	0	1	36	e	tag7
503.767157	0.0001	1	1	1	0	2	34	e	1	0	0	0	1	35	e	tag8
504.499778	0.0001	1	1	1	0	2	33	f	1	0	0	0	1	34	e	tag9
505.23168	0.0001	1	1	1	0	2	32	e	1	0	0	0	1	33	e	tag10
505.96288	0.0001	1	1	1	0	2	31	f	1	0	0	0	1	32	e	tag11
506.693398	0.0001	1	1	1	0	2	30	e	1	0	0	0	1	31	e	tag12
507.423251	0.0001	1	1	1	0	2	29	f	1	0	0	0	1	30	e	tag13
508.152454	0.0001	1	1	1	0	2	28	e	1	0	0	0	1	29	e	tag14
508.881026	0.0001	1	1	1	0	2	27	f	1	0	0	0	1	28	e	tag15
509.60898	0.0001	1	1	1	0	2	26	e	1	0	0	0	1	27	e	tag16
510.336331	0.0001	1	1	1	0	2	25	f	1	0	0	0	1	26	e	tag17
511.063095	0.0001	1	1	1	0	2	24	e	1	0	0	0	1	25	e	tag18
511.789284	0.0001	1	1	1	0	2	23	f	1	0	0	0	1	24	e	tag19
512.514912	0.0001	1	1	1	0	2	22	e	1	0	0	0	1	23	e	tag20
513.23999	0.0001	1	1	1	0	2	21	f	1	0	0	0	1	22	e	tag21
513.964531	0.0001	1	1	1	0	2	20	e	1	0	0	0	1	21	e	tag22
514.688544	0.0001	1	1	1	0	2	19	f	1	0	0	0	1	20	e	tag23
515.412042	0.0001	1	1	1	0	2	18	e	1	0	0	0	1	19	e	tag24
516.135033	0.0001	1	1	1	0	2	17	f	1	0	0	0	1	18	e	tag25
516.857526	0.0001	1	1	1	0	2	16	e	1	0	0	0	1	17	e	tag26
517.57953	0.0001	1	1	1	0	2	15	f	1	0	0	0	1	16	e	tag27
518.301053	0.0001	1	1	1	0	2	14	e	1	0	0	0	1	15	e	tag28
519.022102	0.0001	1	1	1	0	2	13	f	1	0	0	0	1	14	e	tag29
519.742684	0.0001	1	1	1	0	2	12	e	1	0	0	0	1	13	e	tag30
520.462804	0.0001	1	1	1	0	2	11	f	1	0	0	0	1	12	e	tag31
521.182468	0.0001	1	1	1	0	2	10	e	1	0	0	0	1	11	e	tag32
521.90168	0.0001	1	1	1	0	2	9	f	1	0	0	0	1	10	e	tag33
522.620444	0.0001	1	1	1	0	2	8	e	1	0	0	0	1	9	e	tag34
523.338765	0.0001	1	1	1	0	2	7	f	1	0	0	0	1	8	e	tag35
524.056644	0.0001	1	1	1	0	2	6	e	1	0	0	0	1	7	e	tag36
524.774083	0.0001	1	1	1	0	2	5	f	1	0	0	0	1	6	e	tag37
525.491085	0.0001	1	1	1	0	2	4	e	1	0	0	0	1	5	e	tag38
526.20765	0.0001	1	1	1	0	2	3	f	1	0	0	0	1	4	e	tag39
526.923777	0.0001	1	1	1	0	2	2	e	1	0	0	0	1	3	e	tag40
529.070541	0.0001	1	1	1	0	2	1	e	1	0	0	0	1	1	e	tag41
529.072556	0.0001	1	1	1	0	2	2	f	1	0	0	0	1	2	e	tag42
529.075578	0.0001	1	1	1	0	2	3	e	1	0	0	0	1	3	e	tag43
529.079602	0.0001	1	1	1	0	2	4	f	1	0	0	0	1	4	e	tag44
529.084628	0.0001	1	1	1	0	2	5	e	1	0	0	0	1	5	e	tag45
529.09065	0.0001	1	1	1	0	2	6	f	1	0	0	0	1	6	e	tag46
529.097665	0.0001	1	1	1	0	2	7	e	1	0	0	0	1	7	e	tag47
529.105667	0.0001	1	1	1	0	2	8	f	1	0	0	0	1	8	e	tag48
529.11465	0.0001	1	1	1	0	2	9	e	1	0	0	0	1	9	e	tag49
529.124607	0.0001	1	1	1	0	2	10	f	1	0	0	0	1	10	e	tag50
529.135531	0.0001	1	1	1	0	2	11	e	1	0	0	0	1	11	e	tag51
529.147414	0.0001	1	1	1	0	2	12	f	1	0	0	0	1	12	e	tag52
529.160247	0.0001	1	1	1	0	2	13	e	1	0	0	0	1	13	e	tag53
529.17402	0.0001	1	1	1	0	2	14	f	1	0	0	0	1	14	e	tag54
529.188723	0.0001	1	1	1	0	2	15	e	1	0	0	0	1	15	e	tag55
529.204344	0.0001	1	1	1	0	2	16	f	1	0	0	0	1	16	e	tag56
529.220872	0.0001	1	1	1	0	2	17	e	1	0	0	0	1	17	e	tag57
529.238293	0.0001	1	1	1	0	2	18	f	1	0	0	0	1	18	e	tag58
529.256595	0.0001	1	1	1	0	2	19	e	1	0	0	0	1	19	e	tag59
529.275762	0.0001	1	1	1	0	2	20	f	1	0	0	0	1	20	e	tag60
529.295782	0.0001	1	1	1	0	2	21	e	1	0	0	0	1	21	e	tag61
529.316636	0.0001	1	1	1	0	2	22	f	1	0	0	0	1	22	e	tag62
529.33831	0.0001	1	1	1	0	2	23	e	1	0	0	0	1	23	e	tag63
529.360786	0.0001	1	1	1	0	2	24	f	1	0	0	0	1	24	e	tag64
529.384046	0.0001	1	1	1	0	2	25	e	1	0	0	0	1	25	e	tag65
529.408071	0.0001	1	1	1	0	2	26	f	1	0	0	0	1	26	e	tag66
529.432842	0.0001	1	1	1	0	2	27	e	1	0	0	0	1	27	e	tag67
529.45834	0.0001	1	1	1	0	2	28	f	1	0	0	0	1	28	e	tag68
529.484542	0.0001	1	1	1	0	2	29	e	1	0	0	0	1	29	e	tag69
529.511428	0.0001	1	1	1	0	2	30	f	1	0	0	0	1	30	e	tag70
529.538975	0.0001	1	1	1	0	2	31	e	1	0	0	0	1	31	e	tag71
529.56716	0.0001	1	1	1	0	2	32	f	1	0	0	0	1	32	e	tag72
529.595959	0.0001	1	1	1	0	2	33	e	1	0	0	0	1	33	e	tag73
529.625348	0.0001	1	1	1	0	2	34	f	1	0	0	0	1	34	e	tag74
529.655301	0.0001	1	1	1	0	2	35	e	1	0	0	0	1	35	e	tag75
529.685793	0.0001	1	1	1	0	2	36	f	1	0	0	0	1	36	e	tag76
529.716796	0.0001	1	1	1	0	2	37	e	1	0	0	0	1	37	e	tag77
529.748282	0.0001	1	1	1	0	2	38	f	1	0	0	0	1	38	e	tag78
529.780225	0.0001	1	1	1	0	2	39	e	1	0	0	0	1	39	e	tag79
529.783903	0.0001	1	1	1	0	2	1	f	1	0	0	0	1	0	e	tag80
529.812594	0.0001	1	1	1	0	2	40	f	1	0	0	0	1	40	e	tag81
529.84536	0.0001	1	1	1	0	2	41	e	1	0	0	0	1	41	e	tag82
529.878493	0.0001	1	1	1	0	2	42	f	1	0	0	0	1	42	e	tag83
529.911961	0.0001	1	1	1	0	2	43	e	1	0	0	0	1	43	e	tag84
529.945733	0.0001	1	1	1	0	2	44	f	1	0	0	0	1	44	e	tag85
529.979775	0.0001	1	1	1	0	2	45	e	1	0	0	0	1	45	e	tag86
530.014054	0.0001	1	1	1	0	2	46	f	1	0	0	0	1	46	e	tag87
530.048537	0.0001	1	1	1	0	2	47	e	1	0	0	0	1	47	e	tag88
530.083188	0.0001	1	1	1	0	2	48	f	1	0	0	0	1	48	e	tag89
530.117971	0.0001	1	1	1	0	2	49	e	1	0	0	0	1	49	e	tag90
530.497828	0.0001	1	1	1	0	2	2	e	1	0	0	0	1	1	e	tag91
531.211304	0.0001	1	1	1	0	2	3	f	1	0	0	0	1	2	e	tag92
531.924327	0.0001	1	1	1	0	2	4	e	1	0	0	0	1	3	e	tag93
532.636892	0.0001	1	1	1	0	2	5	f	1	0	0	0	1	4	e	tag94
533.348994	0.0001	1	1	1	0	2	6	e	1	0	0	0	1	5	e	tag95
534.060626	0.0001	1	1	1	0	2	7	f	1	0	0	0	1	6	e	tag96
534.771782	0.0001	1	1	1	0	2	8	e	1	0	0	0	1	7	e	tag97
535.482454	0.0001	1	1	1	0	2	9	f	1	0	0	0	1	8	e	tag98
